Owner,Team,W,L
Matt,GOOD KID MATT CITY,1,1
Daniel,CINCINNATI HARAMBENGALS,0,2
Samir,WE ARE THE CAMPIONS,1,1
Tyler,FUNK FOOTBALL,2,0
David,SCOTT LIKES BIG BANG T...,1,1
Adam,THE AREDDZONA GARIDINALS,1,1
Scott,INTENTIONAL POUNDING,2,0
Petr,THE MANNING FACED GOD,0,2
