Owner,Team,W,L
Matt,GOOD KID MATT CITY,0,0
Daniel,CINCINNATI HARAMBENGALS,0,0
Samir,WE ARE THE CAMPIONS,0,0
Tyler,FUNK FOOTBALL,0,0
David,PETR PREFERS PEPSI,0,0
Adam,THE AREDDZONA GARIDINALS,0,0
Scott,INTENTIONAL POUNDING,0,0
Petr,THE MANNING FACED GOD,0,0
