Owner,Team,W,L
Matt,GOOD KID MATT CITY,3,6
Daniel,HURST AND TEN,4,5
Samir,WE ARE THE CAMPIONS,3,6
Tyler,FUNK FOOTBALL,4,5
David,AREDD BOWLS WITH BUMPERS,3,6
Adam,THE AREDDZONA GARIDINALS,5,4
Scott,INTENTIONAL POUNDING,8,1
Petr,THE FIGHTING PAUL BLARTS,6,3
