Owner,Team,W,L
Matt,GOOD KID MATT CITY,3,4
Daniel,HURST AND TEN,2,5
Samir,WE ARE THE CAMPIONS,3,4
Tyler,FUNK FOOTBALL,2,5
David,PETER COMMENTS ON PORN,3,4
Adam,THE AREDDZONA GARIDINALS,5,2
Scott,INTENTIONAL POUNDING,6,1
Petr,THE MANNING FACED GOD,4,3
